Comunidade,Tamanho,Densidade,Densidade Espacial,Fator escolha,Lat,Lon,Porcentagem Crimes,Porcentagem Armas,Porcentagem Horarios,Areas,Subareas
1166,1,0,0,0,34.0987,-118.4012,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 1.0, 'Noite': 0.0, 'Madrugada': 0.0}",{'West LA'},{809}
1167,1,0,0,0,34.2461,-118.5687,{'vandalismo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 1.0, 'Noite': 0.0, 'Madrugada': 0.0}",{'Devonshire'},{1772}
1168,1,0,0,0,34.1034,-118.4172,{'roubo': 1.0},{'outros': 1.0},"{'Manha': 0.0, 'Tarde': 0.0, 'Noite': 0.0, 'Madrugada': 1.0}",{'West LA'},{808}
1169,1,0,0,0,34.2778,-118.4934,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 1.0, 'Noite': 0.0, 'Madrugada': 0.0}",{'Devonshire'},{1717}
1170,1,0,0,0,34.2105,-118.3413,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 0.0, 'Noite': 1.0, 'Madrugada': 0.0}",{'Foothill'},{1677}
1171,2,0.725,0,0,34.1306,-118.3717,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 1.0, 'Noite': 0.0, 'Madrugada': 0.0}",{'N Hollywood'},{1599}
1172,2,0.706579492153322,9999.99999966803,14131.5898425973,34.1719,-118.63645,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 1.0, 'Noite': 0.0, 'Madrugada': 0.0}",{'Topanga'},{2172}
1173,1,0,0,0,33.9313,-118.4143,{'vandalismo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 1.0, 'Noite': 0.0, 'Madrugada': 0.0}",{'Pacific'},{1494}
1174,1,0,0,0,34.1883,-118.6536,{'agressao leve': 1.0},{'força fisica e ameacas': 1.0},"{'Manha': 0.0, 'Tarde': 1.0, 'Noite': 0.0, 'Madrugada': 0.0}",{'Topanga'},{2141}
1175,1,0,0,0,34.2756,-118.5022,{'agressao leve': 1.0},{'força fisica e ameacas': 1.0},"{'Manha': 0.0, 'Tarde': 0.0, 'Noite': 1.0, 'Madrugada': 0.0}",{'Devonshire'},{1737}
1176,1,0,0,0,34.0624,-118.1714,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 1.0, 'Noite': 0.0, 'Madrugada': 0.0}",{'Hollenbeck'},{439}
1177,8,0.433578697133895,3192.34753788587,11073.0710902012,34.073075,-118.3507625,"{'vandalismo': 0.125, 'agressao grave': 0.125, 'roubo': 0.625, 'agressao leve': 0.125}","{'Indefinido': 0.5, 'outros': 0.25, 'força fisica e ameacas': 0.125, 'armas de fogo': 0.125}","{'Manha': 0.375, 'Tarde': 0.25, 'Noite': 0.25, 'Madrugada': 0.125}",{'Wilshire'},{725}
