Comunidade,Tamanho,Densidade,Densidade Espacial,Lat,Lon,Porcentagem Crimes,Porcentagem Armas,Porcentagem Horarios,Areas,Subareas,Tamanho_normalizado,Densidade_normalizado,Densidade Espacial_normalizado,Fator escolha
20,184,0.035714524739230445,0.8368072398500583,34.17021847826084,-118.39727880434772,"{'agressao leve': 0.098, 'agressao grave': 0.071, 'roubo': 0.707, 'vandalismo': 0.109, 'crime sexual': 0.005, 'sequestro': 0.005, 'golpes': 0.005}","{'força fisica e ameacas': 0.141, 'Indefinido': 0.728, 'outros': 0.06, 'explosivos e substancias quimicas': 0.005, 'objetos cortantes': 0.011, 'armas de fogo semiautomaticas': 0.011, 'armas de fogo': 0.033, 'objetos contundentes': 0.011}","{'Manha': 0.152, 'Tarde': 0.31, 'Noite': 0.37, 'Madrugada': 0.168}",{'N Hollywood'},"{1541, 1543, 1544, 1545, 1546, 1547, 1525, 1531, 1532, 1533}",0.16237799467613134,0.04399068306997644,0.003096186787547999,0.02354343492876222
21,1001,0.03582907099683453,0.9839693716549719,34.04134475524475,-118.24053256743242,"{'agressao leve': 0.181, 'roubo': 0.513, 'vandalismo': 0.128, 'homicidio': 0.002, 'agressao grave': 0.141, 'crime sexual': 0.033, 'sequestro': 0.001, 'golpes': 0.001}","{'força fisica e ameacas': 0.225, 'Indefinido': 0.514, 'outros': 0.097, 'armas de fogo': 0.034, 'objetos contundentes': 0.032, 'explosivos e substancias quimicas': 0.012, 'objetos cortantes': 0.068, 'armas de fogo automaticas': 0.005, 'armas de fogo semiautomaticas': 0.013}","{'Manha': 0.181, 'Tarde': 0.318, 'Noite': 0.346, 'Madrugada': 0.156}","{'Newton', 'Hollenbeck', 'Central'}","{128, 129, 165, 166, 138, 139, 176, 1307, 146, 147, 148, 157, 471, 155, 156, 1309, 158, 159}",0.8873114463176575,0.04413177323292569,0.003640686675244255,0.023886229954084973
22,45,0.06519003941729923,1.4880541983901951,34.27685333333332,-118.40034666666668,"{'roubo': 0.6, 'agressao grave': 0.089, 'vandalismo': 0.156, 'agressao leve': 0.089, 'crime sexual': 0.044, 'golpes': 0.022}","{'Indefinido': 0.644, 'armas de fogo': 0.089, 'outros': 0.111, 'força fisica e ameacas': 0.156}","{'Manha': 0.156, 'Tarde': 0.333, 'Noite': 0.378, 'Madrugada': 0.133}",{'Foothill'},"{1633, 1634, 1602, 1613, 1614, 1615}",0.03904170363797693,0.08029658477229044,0.005505800534226496,0.04290119265325847
23,17,0.40529240641978476,53.09630256672788,34.20774705882353,-118.49127058823528,"{'roubo': 0.412, 'agressao leve': 0.118, 'vandalismo': 0.235, 'agressao grave': 0.118, 'crime sexual': 0.118}","{'Indefinido': 0.647, 'outros': 0.118, 'força fisica e ameacas': 0.176, 'objetos contundentes': 0.059}","{'Manha': 0.176, 'Tarde': 0.353, 'Noite': 0.118, 'Madrugada': 0.353}",{'West Valley'},{1008},0.01419698314108252,0.4992111733716159,0.19645631950341486,0.3478337464375154
24,965,0.025333328655874364,1.057278479926281,34.0368398963731,-118.26183367875653,"{'roubo': 0.577, 'agressao grave': 0.09, 'vandalismo': 0.18, 'agressao leve': 0.139, 'crime sexual': 0.01, 'golpes': 0.002, 'sequestro': 0.001}","{'Indefinido': 0.623, 'armas de fogo': 0.042, 'outros': 0.086, 'força fisica e ameacas': 0.168, 'objetos cortantes': 0.045, 'objetos contundentes': 0.019, 'armas de fogo semiautomaticas': 0.006, 'explosivos e substancias quimicas': 0.009, 'armas de fogo automaticas': 0.002}","{'Manha': 0.187, 'Tarde': 0.298, 'Noite': 0.339, 'Madrugada': 0.176}","{'Southwest', 'Newton', 'Central'}","{192, 1313, 162, 195, 1311, 163, 319, 1321, 1322, 1323, 181, 182, 1303, 185, 191}",0.8553682342502218,0.03120384325831391,0.003911930375857103,0.017557886817085505
25,240,0.025776915511164872,0.9021976150566959,33.95809541666668,-118.3078283333334,"{'roubo': 0.383, 'vandalismo': 0.179, 'agressao grave': 0.217, 'crime sexual': 0.025, 'agressao leve': 0.188, 'homicidio': 0.004, 'golpes': 0.004}","{'força fisica e ameacas': 0.242, 'Indefinido': 0.429, 'objetos contundentes': 0.017, 'armas de fogo': 0.142, 'outros': 0.087, 'objetos cortantes': 0.033, 'explosivos e substancias quimicas': 0.013, 'armas de fogo semiautomaticas': 0.033, 'armas de fogo automaticas': 0.004}","{'Manha': 0.225, 'Tarde': 0.371, 'Noite': 0.308, 'Madrugada': 0.096}",{'77th Street'},"{1283, 1253, 1255, 1293, 1263, 1265, 1273}",0.21206743566992015,0.0317502228869824,0.0033381311758205897,0.017544177031401494
26,484,0.012427509196907218,0.5760533118681394,33.98849049586776,-118.32910309917386,"{'agressao leve': 0.186, 'roubo': 0.401, 'crime sexual': 0.014, 'vandalismo': 0.18, 'agressao grave': 0.211, 'sequestro': 0.004, 'homicidio': 0.002, 'golpes': 0.002}","{'força fisica e ameacas': 0.231, 'outros': 0.081, 'Indefinido': 0.457, 'armas de fogo': 0.124, 'armas de fogo semiautomaticas': 0.035, 'objetos cortantes': 0.037, 'objetos contundentes': 0.023, 'armas de fogo automaticas': 0.008, 'explosivos e substancias quimicas': 0.004}","{'Manha': 0.18, 'Tarde': 0.312, 'Noite': 0.326, 'Madrugada': 0.182}","{'Southwest', '77th Street'}","{1251, 1252, 392, 393, 394, 395, 1243, 1231, 1232, 1233, 1203, 374, 1241, 1242, 1211, 1213}",0.4285714285714286,0.01530734686859346,0.002131397253982871,0.008719372061288165
27,398,0.03884750194501472,1.2028844321178944,33.988540201005065,-118.29177361809037,"{'roubo': 0.487, 'agressao grave': 0.183, 'vandalismo': 0.143, 'agressao leve': 0.156, 'homicidio': 0.005, 'crime sexual': 0.02, 'sequestro': 0.005}","{'armas de fogo semiautomaticas': 0.045, 'Indefinido': 0.392, 'força fisica e ameacas': 0.284, 'armas de fogo': 0.118, 'outros': 0.078, 'explosivos e substancias quimicas': 0.013, 'objetos contundentes': 0.018, 'objetos cortantes': 0.048, 'armas de fogo automaticas': 0.005}","{'Manha': 0.201, 'Tarde': 0.352, 'Noite': 0.307, 'Madrugada': 0.141}",{'77th Street'},"{1248, 1218, 1219, 1233, 1235, 1205, 1239, 1207, 1245, 1215}",0.35226264418811004,0.04784966784805824,0.004450672398983957,0.0261501701235211
28,292,0.026601308631455354,0.9244844959107956,34.04990171232875,-118.3255657534246,"{'vandalismo': 0.158, 'roubo': 0.63, 'agressao leve': 0.137, 'agressao grave': 0.065, 'crime sexual': 0.003, 'golpes': 0.007}","{'Indefinido': 0.709, 'armas de fogo': 0.048, 'objetos cortantes': 0.021, 'força fisica e ameacas': 0.161, 'objetos contundentes': 0.017, 'outros': 0.038, 'armas de fogo semiautomaticas': 0.003, 'explosivos e substancias quimicas': 0.003}","{'Manha': 0.178, 'Tarde': 0.271, 'Noite': 0.38, 'Madrugada': 0.171}","{'Wilshire', 'Olympic'}","{769, 2021, 777, 778, 747, 749, 2031, 787, 788, 789, 758, 759, 2071, 2041, 765, 766, 767}",0.25820763087843834,0.03276565335244599,0.003420592634983496,0.018093122993714742
29,331,0.02193140636814666,0.8933432182491058,34.22641540785498,-118.46812145015102,"{'agressao leve': 0.202, 'roubo': 0.453, 'vandalismo': 0.148, 'agressao grave': 0.163, 'sequestro': 0.009, 'crime sexual': 0.021, 'golpes': 0.003}","{'força fisica e ameacas': 0.239, 'Indefinido': 0.526, 'outros': 0.06, 'objetos contundentes': 0.036, 'objetos cortantes': 0.069, 'armas de fogo': 0.042, 'armas de fogo semiautomaticas': 0.021, 'explosivos e substancias quimicas': 0.006}","{'Manha': 0.205, 'Tarde': 0.311, 'Noite': 0.317, 'Madrugada': 0.166}","{'Mission', 'Devonshire', 'West Valley', 'Van Nuys'}","{901, 1798, 1799, 1991, 1961, 1962, 1993, 904, 1009, 1971, 1972, 1779, 1981, 1982, 1983}",0.29281277728482696,0.027013590517144626,0.0033053699076314186,0.015159480212388023
